Annotation	Cell Name	Value	Comment
Gene symbol	Alamut.gene		
Gene id(HGNC)	Alamut.geneId		
Chromosome	Alamut.chrom		
Transcript	Alamut.transcript		
Strand	Alamut.strand		
Transcript length	Alamut.transLen		
Protein	Alamut.protein		
Uniprot accession	Alamut.uniprot		
Variant Type	Alamut varType		
Variant coding effect	Alamut.codingEffect		
Variant location	Alamut.varLocation		
Genome assembly	Alamut.assembly		
gDNA start	Alamut.gDNAstart		
gDNA end	Alamut.gDNAend		
Genomic-level nomenclature	Alamut.gNomen		
cDNA start	Alamut.cDNA start		
cDNA end	Alamut.cDNA end		
CDNA-level nomenclature	Alamut.cNomen		
Protein-level nomenclature	Alamut.pNomen		
Alt. Protein-level nomenclature	Alamut.alt_pNomen		
Exon	Alamut.exon		
Intron	Alamut.intron		
OMIM ID	Alamut.omimId		
Distance to nearest splice site	Alamut.distNearestSS		
Nearest splice site type	Alamut.nearestSSType		
WT seq. SpliceSiteFinder score	Alamut.wtSSFScore		Predictions at nearest splice site
WT seq. MaxEntScan score	Alamut.wtMaxEntScore		Predictions at nearest splice site
WT seq. NNSPLICE score	Alamut.wtNNSScore		Predictions at nearest splice site
WT seq. GeneSplicer score	Alamut.wtGSScore		Predictions at nearest splice site
WT seq. HumanSpliceFinder score	Alamut.wtHSFScore		Predictions at nearest splice site
Variant seq. SpliceSiteFinder score	Alamut.varSSFScore		Predictions at nearest splice site
Variant seq. MaxEntScan score	Alamut.varMaxEntScore		Predictions at nearest splice site
Variant seq. NNSPLICE score	Alamut.varNNSScore		Predictions at nearest splice site
Variant seq. GeneSplicer score	Alamut.varGSScore		Predictions at nearest splice site
Variant seq. HumanSpliceFinder score	Alamut.varHSFScore		Predictions at nearest splice site
Average change at nearest splice site	Alamut.nearestSSChange		"Average change predicted by MaxEntScan, NNSPLICE, and HSF"
Predicted splice site effect in the immediate variant vicinity	Alamut.localSpliceEffect		"Possible values: Cyptic Donor Strongly Activated, Cryptic Donor Weakly Activated, Cryptic Acceptor Strongly Activated, Cryptic Acceptor Weakly Activated, New Donor Site, New Acceptor Site"
Protein domain 1	Alamut.proteinDomain1		
Protein domain 2	Alamut.proteinDomain2		
Protein domain 3	Alamut.proteinDomain3		
Protein domain 4	Alamut.proteinDomain4		
dbSNP variation	Alamut.rsId		
dbSNP validated variation?	Alamut.rsValidated		yes/no
dbSNP suspect variation?	Alamut.rsSuspect		Possible values: yes/no - Variant flagged as suspect by dbSNP
dbSNP validation labels	Alamut.rsValidations		
dbSNP number of validation categories	Alamut.rsValidationNumber		
dbSNP variation ancestral allele	Alamut.rsAncestralAllele		
dbSNP variation average heterozygosity	Alamut.rsHeterozygosity		
dbSNP variation clinical significance	Alamut.rsClinicalSignificance		
dbSNP variation global Minor Allele Frequency	Alamut.rsMAF		
dbSNP variation global minor allele	Alamut.rsMAFAllele		
dbSNP variation sample size	Alamut.rsMAFCount		
ESP reference allele count in European American population	Alamut.espRefEACount		
ESP reference allele count in African  American population	Alamut.espRefAACount		
ESP reference allele count in all populations	Alamut.espRefAllCount		
ESP alternate allele count in European American population	Alamut.espAltEACount		
ESP alternate allele count in African  American population	Alamut.espAltAACount		
ESP alternate allele count in all populations	Alamut.espAltAllCount		
Minor allele frequency in European American population	Alamut.espEAMAF		
Minor allele frequency in African  American population	Alamut.espAAMAF		
Minor allele frequency in all populations	Alamut.espAllMAF		
Alternate allele frequency in European American population	Alamut.espEAAAF		
Alternate allele frequency in African  American population	Alamut.espAAAAF		
Alternate allele frequency in all populations	Alamut.espAllAAF		
Average sample read depth	Alamut.espAvgReadDepth		
HGMD Mutation id	Alamut.hgmdId		
HGMD Mutation phenotype	Alamut.hgmdPhenotype		
HGMD Mutation web link	Alamut.hgmdWebLink		
HGMD Mutation PubMed id	Alamut.hgmdPubMedId		
HGMD sub-category	Alamut.hgmdSubCategory		"DP, DFP, FP, FTV, DM?, DM - see HGMD Documentation website"
Substitutions			
Insertion nucleotides	Alamut.insNucs		
Deletion nucleotides	Alamut.delNucs		
Type	Alamut.substType		"transition,transversion"
WT nucleotide	Alamut.wtNuc		
Variant nucleotide	Alamut.varNuc		
Nucleotide change	Alamut.nucChange		
PhastCons score	Alamut.phastCons		
phyloP score	Alamut.phyloP		
All coding substitutions			
WT AA (1 letter)	Alamut.wtAA_1		
WT AA (3 letters)	Alamut.wtAA_3		
